5.320 90.718
-0.680 3.285
-0.190 3.848
-1.460 -1.887
2.650 5.550
2.240 1.832
0.120 3.987
2.240 2.712
-1.170 1.562
5.680 115.702
2.750 6.537
-0.020 4.015
4.360 43.535
5.340 92.210
0.310 3.755
5.710 117.418
2.260 2.490
-0.980 2.422
5.660 113.612
0.980 1.636
4.030 31.730
4.620 53.796
1.160 1.242
1.250 0.943
-1.200 1.262
4.220 37.709
2.690 5.916
2.270 2.500
-0.450 4.139
2.340 3.080
5.700 117.293
1.080 1.293
3.750 23.404
-0.530 3.498
5.920 134.076
-0.380 3.980
0.800 2.102
3.000 9.580
4.410 44.657
2.090 1.536
3.670 22.172
1.270 0.682
0.480 2.806
2.110 1.257
3.430 16.215
1.190 1.246
0.360 3.339
1.530 0.791
-0.930 2.915
3.510 17.960
-0.200 3.882
-1.910 -8.131
4.060 32.688
1.510 0.620
0.870 1.524
2.840 7.363
2.850 7.459
-1.500 -2.425
3.570 18.918
3.340 14.657
0.960 1.474
-1.640 -3.978
-0.120 3.745
0.600 2.616
5.850 128.512
5.930 134.279
1.270 1.302
-1.750 -5.589
1.880 1.392
3.050 9.763
4.190 36.681
2.890 7.836
3.870 27.196
-0.260 4.295
2.730 5.532
-0.980 2.362
4.240 38.288
3.270 13.229
2.440 3.328
2.840 6.883
4.550 50.816
0.470 2.831
3.240 12.945
3.580 19.756
4.220 38.149
2.380 3.488
0.220 3.648
-1.710 -4.675
4.900 67.419
-0.030 4.357
4.010 30.718
2.180 1.671
-1.070 1.806
3.760 23.624
0.000 3.710
1.190 1.776
3.770 23.866
-0.040 3.749
3.490 17.341
0.190 3.518
